clarity,price,Fair,Good,Ideal,Premium,Very Good,D,E,F,G,H,I,J,carat,depth,table,x,y,z
2,2042,0,0,0,1,0,0,0,0,1,0,0,0,-0.20151555635358462,-0.3738110161603174,1.117213449608045,-0.02326047409135114,0.011269764147430202,-0.04828047801878211
1,10457,0,0,1,0,0,0,0,0,0,0,1,0,2.7745468594007217,0.8894038936438425,-0.6521294887085057,2.1966022153350684,2.1852087732746184,2.2924876051058063
1,18705,0,0,0,1,0,0,0,0,1,0,0,0,2.583228561245087,-0.3738110161603174,-0.12132660721353923,2.107091623019487,2.176188279460813,2.075749819631307
1,4329,0,0,0,0,1,0,0,0,0,0,0,1,0.8401062891604225,1.1701183180447665,-0.2982609010451968,0.8718454490644634,0.9584216145970348,1.0643068207503117
4,497,0,0,1,0,0,0,0,0,0,1,0,0,-1.0943342810798762,0.04726062044106589,-0.20979375412936802,-1.3659193588250729,-1.3598452955510458,-1.3487071908657753
1,4327,0,0,0,1,0,0,0,0,1,0,0,0,0.45746969284915473,0.1876178326415303,0.23254198044976965,0.6122647313492772,0.579560874417193,0.6163820641030144
3,985,0,0,1,0,0,0,1,0,0,0,0,0,-0.8605008055563237,-0.9352398649621702,-0.6521294887085057,-0.891513219552491,-0.9268615924883689,-0.9874775484082772
2,15258,0,0,1,0,0,0,0,0,0,0,1,0,2.561970972561128,0.749046681443378,-0.6521294887085057,2.0712873860932537,2.004798896998503,2.1479957481228062
2,4265,0,1,0,0,0,1,0,0,0,0,0,0,0.24489380600956145,2.012261591247538,0.23254198044976965,0.26317342131850896,0.354048529072049,0.5585853213098148
3,628,0,0,0,1,0,0,0,0,0,1,0,0,-1.0305615150279983,0.32797504484199475,0.6748777150289074,-1.2048002926570265,-1.2515993697853764,-1.1897661481844763
2,4320,0,0,0,1,0,0,0,0,0,1,0,0,0.45746969284915473,0.6788680753431509,0.6748777150289074,0.5406562574968119,0.4893559362791349,0.6019328784047149
3,1259,0,0,1,0,0,0,0,0,0,0,1,0,-0.5416369752969337,-0.44398962226054967,-1.0944652232876433,-0.4081560210483519,-0.376611469846218,-0.43840849187288017
3,7203,0,0,0,1,0,0,0,0,1,0,0,0,0.7763335231085444,-1.2861328954633262,1.117213449608045,1.0329645152325098,1.0125445774798691,0.8331198495775138
1,1041,0,0,0,0,1,0,0,0,0,0,1,0,-0.5203793866129743,0.9595824997440747,0.23254198044976965,-0.515568731827049,-0.48485739561188645,-0.39506093477798065
2,2239,0,0,0,1,0,0,0,1,0,0,0,0,-0.20151555635358462,-1.6370259259644824,1.117213449608045,0.039396940529555335,0.011269764147430202,-0.1638739636051816
3,872,0,0,0,1,0,0,1,0,0,0,0,0,-1.0305615150279983,0.6788680753431509,0.23254198044976965,-1.249555588814817,-1.278660851226794,-1.1897661481844763
6,815,0,0,1,0,0,0,0,1,0,0,0,0,-1.0305615150279983,0.1876178326415303,-1.0944652232876433,-1.249555588814817,-1.242578875971571,-1.2186645195810761
4,5182,0,0,1,0,0,0,0,0,0,0,1,0,0.45746969284915473,-0.44398962226054967,-1.536800957866781,0.6570200275070677,0.6787863063690567,0.6019328784047149
4,1095,0,0,1,0,0,1,0,0,0,0,0,0,-0.8605008055563237,-1.0054184710624023,-0.6521294887085057,-0.9094153380156077,-0.8637181357917291,-0.9730283627099776
4,1055,0,0,1,0,0,0,0,0,1,0,0,0,-0.7329552734525677,-1.9177403503654062,1.117213449608045,-0.6677367387635373,-0.6111443090051676,-0.8285365057269782
3,2960,0,0,1,0,0,0,0,0,1,0,0,0,-0.1590003789856659,-0.30363241006009023,-0.6521294887085057,0.039396940529555335,0.07441322084406997,0.023965450472717267
3,1266,0,0,0,0,1,0,0,0,0,0,0,1,-0.4566066205610965,0.8192252875436103,0.23254198044976965,-0.38130284335367726,-0.36759097603241164,-0.2794674491915811
4,2440,0,0,1,0,0,0,0,0,0,0,1,0,-0.11648520161774721,0.25779643874176256,-0.6521294887085057,0.021494822066439427,0.08343371465787634,0.08176219326591702
4,15708,0,1,0,0,0,0,0,0,0,0,1,0,2.561970972561128,-2.058097562565871,3.3288921225037336,2.062336326861696,2.140106304205589,1.743418548570409
5,789,0,0,1,0,0,0,1,0,0,0,0,0,-1.0518191037119577,-0.233453803959858,-0.20979375412936802,-1.2585066480463751,-1.2515993697853764,-1.2620120766759757
4,453,0,0,0,0,1,0,0,1,0,0,0,0,-1.136849458447795,-1.5668473198642503,0.23254198044976965,-1.3838214772881896,-1.3508248017372393,-1.4931990478487747
6,705,0,0,1,0,0,0,0,1,0,0,0,0,-1.1581070471317543,0.398153650942222,-0.6521294887085057,-1.535989484224678,-1.5312346780133548,-1.4931990478487747
3,1607,0,0,1,0,0,0,0,0,1,0,0,0,-0.562894563980893,0.5385108631426865,-0.6521294887085057,-0.4708134356692584,-0.5028983832394984,-0.4239593061745799
1,3136,0,0,0,1,0,0,0,0,1,0,0,0,0.43621210416519535,0.5385108631426865,0.6748777150289074,0.6122647313492772,0.5434788991619699,0.6452804354996143
3,1915,0,0,1,0,0,0,1,0,0,0,0,0,-0.499121797929015,-0.16327519785962577,-0.20979375412936802,-0.38130284335367726,-0.41269344510144107,-0.40951012047628027
7,655,0,0,1,0,0,0,0,0,0,0,1,0,-1.009303926344039,0.25779643874176256,-1.536800957866781,-1.1958492334254687,-1.1704149254611247,-1.1464185910895761
1,3918,0,0,0,1,0,0,0,1,0,0,0,0,0.6487879910047888,0.25779643874176256,-0.6521294887085057,0.8539433306013466,0.750950256879502,0.8475690352758135
5,742,0,0,1,0,0,0,1,0,0,0,0,0,-1.0518191037119577,0.398153650942222,-1.536800957866781,-1.2674577072779338,-1.2335583821577645,-1.204215333882776
3,6692,0,0,1,0,0,0,0,1,0,0,0,0,0.5212424589010327,0.25779643874176256,-0.20979375412936802,0.6749221459701844,0.7238887754380853,0.7319755496894139
2,502,0,1,0,0,0,1,0,0,0,0,0,0,-1.0305615150279983,1.0999397119445342,0.6748777150289074,-1.3301151218988403,-1.2967018388544052,-1.204215333882776
5,7583,0,0,0,0,1,0,0,0,1,0,0,0,0.6275304023208295,-1.3563115015635585,1.5595491841871827,0.8181390936751141,0.8772371702727831,0.6597296211979146
5,13247,0,0,1,0,0,0,0,0,0,0,1,0,1.9242433120423483,-0.022917985659161342,-0.20979375412936802,1.7400981945256033,1.707122601142913,1.700070991475509
5,766,0,0,1,0,0,0,1,0,0,0,0,0,-1.0518191037119577,0.11743922654129811,0.23254198044976965,-1.2943108849726077,-1.2696403574129878,-1.2620120766759757
1,12377,0,0,0,0,1,0,0,0,1,0,0,0,2.9446075688723967,1.0999397119445342,0.6748777150289074,2.2592596299559755,2.2303112423436464,2.4080810906922054
2,4704,0,0,0,1,0,0,0,1,0,0,0,0,0.43621210416519535,-1.0054184710624023,1.5595491841871827,0.630166849812393,0.5885813682309985,0.47189020712001506
3,6579,0,0,0,1,0,1,0,0,0,0,0,0,0.6700455796887482,-1.5668473198642503,1.117213449608045,0.9345028636853698,0.8772371702727831,0.6886279925945138
2,8223,0,0,0,1,0,0,0,0,0,1,0,0,1.2865156515235683,0.46833225704245424,-0.20979375412936802,1.3104473514108126,1.2470774166388194,1.3388413490180109
2,5909,0,0,1,0,0,0,0,1,0,0,0,0,0.5850152249529108,-0.7948826527617058,-0.20979375412936802,0.8002369752119981,0.8501756888313656,-3.5594326027056646
2,16804,0,0,0,1,0,0,0,1,0,0,0,0,3.008380334924274,0.25779643874176256,0.6748777150289074,2.330868103808441,2.284434205226481,2.335835162200706
5,836,0,0,1,0,0,0,0,0,0,0,1,0,-0.881758394240283,0.1876178326415303,-1.0944652232876433,-0.9631216934049562,-0.9539230739297864,-0.9296808056150775
4,16219,0,0,0,0,1,0,0,0,1,0,0,0,1.5628643044150399,0.11743922654129811,-0.20979375412936802,1.489468536041975,1.4365077867287404,1.4688840203027098
1,855,0,0,1,0,0,0,1,0,0,0,0,0,-0.8392432168723644,-0.3738110161603174,-1.0944652232876433,-0.8557089826262592,-0.8907796172331458,-0.9007824342184776
3,3053,0,0,1,0,0,0,1,0,0,0,0,0,-0.18025796766962526,-0.5843468344610141,-0.6521294887085057,0.039396940529555335,0.09245420847168191,-0.004932920923882611
2,1662,0,0,1,0,0,1,0,0,0,0,0,0,-0.5416369752969337,0.25779643874176256,-0.6521294887085057,-0.46186237643770045,-0.4307344327290522,-0.40951012047628027
2,579,0,0,1,0,0,0,1,0,0,0,0,0,-0.9880463376600797,0.5385108631426865,-1.0944652232876433,-1.168996055730794,-1.152373937833513,-1.1030710339946768
3,666,0,0,1,0,0,0,0,1,0,0,0,0,-0.9880463376600797,-0.865061258861938,-1.0944652232876433,-1.1242407595730033,-1.0621689996954555,-1.1608677767878766
7,1400,0,0,1,0,0,0,0,0,1,0,0,0,-0.7967280395044457,-0.9352398649621702,-1.0944652232876433,-0.784100508773794,-0.7825336914674765,-0.8718840628218777
1,2222,0,0,0,1,0,1,0,0,0,0,0,0,-0.20151555635358462,0.04726062044106589,-1.0944652232876433,-0.014309414859793186,-0.04285319873540481,-0.01938210662218223
2,475,0,0,1,0,0,0,0,1,0,0,0,0,-1.0518191037119577,-0.233453803959858,-1.0944652232876433,-1.240604529583259,-1.2335583821577645,-1.2475628909776761
2,4915,0,0,0,1,0,0,1,0,0,0,0,0,0.3724393381133173,-0.5141682283607819,1.5595491841871827,0.531705198265254,0.49837643009294125,0.44299183572341516
3,1882,0,0,1,0,0,1,0,0,0,0,0,0,-0.6054097413488118,-0.3738110161603174,-1.0944652232876433,-0.49766661336393303,-0.5389803584947215,-0.5540019774592797
2,1267,0,0,0,0,1,0,0,1,0,0,0,0,-0.5841521526648524,0.6086894692429187,0.23254198044976965,-0.5513729687532816,-0.5299598646809158,-0.46730686326948
5,14654,0,1,0,0,0,0,0,1,0,0,0,0,1.5203491270471212,1.380654136345463,0.23254198044976965,1.3014962921792539,1.3643438362182942,1.5266807630959096
2,6033,0,0,0,1,0,0,0,1,0,0,0,0,0.7338183457406258,-1.496668713764018,0.23254198044976965,0.9613560413800445,0.9494011207832292,0.7464247353877136
3,827,0,0,0,0,1,0,0,0,1,0,0,0,-0.8179856281884051,-1.3563115015635585,1.5595491841871827,-0.8467579233947005,-0.8186156667226997,-0.9585791770116773
3,900,0,0,1,0,0,0,1,0,0,0,0,0,-1.009303926344039,0.398153650942222,-1.536800957866781,-1.1868981741939097,-1.224537888343959,-1.1608677767878766
2,5147,1,0,0,0,0,1,0,0,0,0,0,0,0.45746969284915473,1.8719043790470835,1.5595491841871827,0.39743930979188147,0.3630690228858546,0.6163820641030144
2,705,0,1,0,0,0,0,0,1,0,0,0,0,-0.8179856281884051,1.2402969241449986,-0.6521294887085057,-0.9183663972471656,-0.8817591234193403,-0.7707397629337784
1,1059,0,0,0,0,1,0,1,0,0,0,0,0,-0.5841521526648524,1.5911899546461548,-1.0944652232876433,-0.5871772056795141,-0.5570213461223326,-0.39506093477798065
1,15832,0,1,0,0,0,0,0,0,1,0,0,0,2.583228561245087,1.310475530245231,0.6748777150289074,1.9907278530092316,2.0499013660675316,2.220241676614307
3,743,0,0,1,0,0,0,0,0,1,0,0,0,-0.9880463376600797,0.32797504484199475,-0.6521294887085057,-1.1510939372676772,-1.1704149254611247,-1.117520219692977
1,4101,0,1,0,0,0,0,0,1,0,0,0,0,0.4999848702170734,-0.022917985659161342,2.4442206533454582,0.6570200275070677,0.7058477878104733,0.6741788068962142
2,5072,0,0,0,0,1,0,0,0,0,1,0,0,0.542500047584992,1.029761105844307,0.6748777150289074,0.5943626128861604,0.6607453187414447,0.7608739210860133
3,3890,0,0,0,0,1,0,0,0,0,1,0,0,0.22363621732560213,-0.6545254405612463,0.23254198044976965,0.4063903690234394,0.4442534672101063,0.3418475358353159
1,6116,0,0,0,1,0,0,0,0,1,0,0,0,1.052682176000016,-0.44398962226054967,0.6748777150289074,1.1672304037058823,1.1027495156179272,1.0643068207503117
1,4662,0,0,1,0,0,0,0,1,0,0,0,0,0.47872728153311406,-0.233453803959858,-0.6521294887085057,0.6928242644333004,0.6697658125552503,0.6452804354996143
3,4309,0,0,0,1,0,0,0,0,1,0,0,0,0.22363621732560213,-0.16327519785962577,1.117213449608045,0.3884882505603235,0.3630690228858546,0.3562967215336155
6,789,0,0,1,0,0,0,0,0,1,0,0,0,-1.0305615150279983,0.5385108631426865,-1.536800957866781,-1.240604529583259,-1.224537888343959,-1.1753169624861761
5,3990,0,0,1,0,0,0,1,0,0,0,0,0,-0.20151555635358462,0.398153650942222,-1.669501678240521,-0.050113651786025795,-0.006771223480181735,0.023965450472717267
2,10967,0,0,1,0,0,0,0,0,0,0,1,0,1.9242433120423483,-0.9352398649621702,0.23254198044976965,1.7938045499149526,1.7522250702119415,1.6133758772857099
6,478,0,0,0,0,1,0,1,0,0,0,0,0,-1.1793646358157137,1.1701183180447665,-0.20979375412936802,-1.6255000765402592,-1.6033986285238009,-1.5076482335470744
3,1009,0,1,0,0,0,1,0,0,0,0,0,0,-0.754212862136527,1.310475530245231,-0.6521294887085057,-0.8199047457000266,-0.8005746790950885,-0.6695954630456792
1,3977,0,1,0,0,0,0,0,1,0,0,0,0,0.43621210416519535,1.380654136345463,-0.20979375412936802,0.5675094351914866,0.5344584053481644,0.7319755496894139
4,8347,0,0,1,0,0,1,0,0,0,0,0,0,0.47872728153311406,0.6086894692429187,-0.20979375412936802,0.6033136721177191,0.6427043311138335,0.7030771782928135
1,2487,0,0,1,0,0,1,0,0,0,0,0,0,-0.18025796766962526,0.5385108631426865,-0.6521294887085057,-0.02326047409135114,0.0022492703336246334,0.052863821869317144
5,2016,0,0,1,0,0,0,0,1,0,0,0,0,-0.6266673300327711,0.1876178326415303,-0.6521294887085057,-0.5782261464479562,-0.6111443090051676,-0.5684511631575793
2,4815,0,0,0,1,0,0,0,0,1,0,0,0,0.5637576362689515,-1.496668713764018,0.23254198044976965,0.8449922713697887,0.9042986517142007,0.6597296211979146
3,1207,0,0,0,0,1,0,0,0,0,0,0,1,-0.4778642092450559,1.0999397119445342,-0.6521294887085057,-0.39920496181679316,-0.4397549265428578,-0.29391663488988073
3,906,0,0,1,0,0,0,0,1,0,0,0,0,-0.9455311602921611,0.25779643874176256,-0.20979375412936802,-1.0526322857205381,-1.0802099873230666,-1.0308251055031774
0,6653,1,0,0,0,0,0,0,0,0,1,0,0,3.0934106896601117,4.187798380354712,0.23254198044976965,2.04443420839858,2.0228398846261144,2.711513990356504
2,2049,0,0,0,1,0,0,0,0,0,1,0,0,-0.18025796766962526,0.398153650942222,1.5595491841871827,-0.06801577024914171,-0.10599665543204458,-0.03383129232048249
5,4205,0,0,1,0,0,0,1,0,0,0,0,0,-0.20151555635358462,-0.09309659175939355,-0.6521294887085057,-0.005358355628235232,0.020290257961235767,-0.004932920923882611
7,1433,0,0,1,0,0,0,1,0,0,0,0,0,-0.881758394240283,0.11743922654129811,-0.6521294887085057,-0.9631216934049562,-0.9629435677435919,-0.9441299913133777
4,608,0,0,1,0,0,0,0,0,0,0,1,0,-1.0518191037119577,-0.09309659175939355,-0.6521294887085057,-1.2227024111201426,-1.278660851226794,-1.2475628909776761
2,5055,0,0,1,0,0,0,1,0,0,0,0,0,0.47872728153311406,-0.7247040466614736,-0.20979375412936802,0.7375795605910909,0.7058477878104733,0.6308312498013147
4,839,0,0,1,0,0,0,0,1,0,0,0,0,-0.9455311602921611,-0.5843468344610141,-0.6521294887085057,-1.079485463415213,-1.05314850588165,-1.1030710339946768
3,625,0,0,0,1,0,0,0,1,0,0,0,0,-1.0305615150279983,0.46833225704245424,0.23254198044976965,-1.2674577072779338,-1.2515993697853764,-1.204215333882776
3,18447,0,0,0,1,0,0,0,0,0,0,1,0,2.732031682032803,-1.9879189564656385,1.5595491841871827,2.3577212815031148,2.365618649550733,2.0035038911398075
2,4020,0,1,0,0,0,0,0,0,0,1,0,0,0.3724393381133173,0.25779643874176256,1.117213449608045,0.4600967244127887,0.5073969239067468,0.5152377642149152
1,9450,0,0,0,1,0,0,1,0,0,0,0,0,1.4990915383631618,-1.1457756832628618,1.117213449608045,1.5163217137366496,1.463569268170157,1.3099429776214115
2,5863,0,0,1,0,0,0,0,0,0,1,0,0,0.6913031683727076,0.749046681443378,-1.0944652232876433,0.8360412121382308,0.7960527259485314,0.9198149637673129
2,2239,0,0,0,0,1,0,1,0,0,0,0,0,-0.20151555635358462,0.749046681443378,-0.6521294887085057,-0.032211533322909096,-0.006771223480181735,0.0673130075676174
7,891,0,0,1,0,0,0,0,0,1,0,0,0,-1.0305615150279983,-0.5141682283607819,-0.20979375412936802,-1.1868981741939097,-1.1794354192749303,-1.2186645195810761
1,3368,0,0,0,0,1,0,0,1,0,0,0,0,0.22363621732560213,0.6086894692429187,-0.6521294887085057,0.36163507286564883,0.39915099814107763,0.45744102142171544
3,1693,0,0,0,0,1,0,0,1,0,0,0,0,-0.562894563980893,-1.7773831381649419,0.23254198044976965,-0.39025390258523524,-0.376611469846218,-0.5684511631575793
6,1805,0,0,1,0,0,0,0,0,0,0,1,0,-0.4566066205610965,0.25779643874176256,-0.6521294887085057,-0.3454986064274447,-0.36759097603241164,-0.32281500628648063
3,7311,0,0,0,1,0,0,1,0,0,0,0,0,0.47872728153311406,-1.2159542893630941,0.6748777150289074,0.7465306198226488,0.7329092692518908,0.573034507008115
4,1270,0,0,0,0,1,0,0,0,0,0,0,1,-0.4778642092450559,0.8192252875436103,-0.20979375412936802,-0.4260581395114678,-0.4036729512876347,-0.32281500628648063
7,1129,0,0,1,0,0,0,1,0,0,0,0,0,-0.9880463376600797,0.11743922654129811,-0.20979375412936802,-1.177947114962352,-1.152373937833513,-1.1464185910895761
1,9504,0,0,0,0,1,0,0,0,0,1,0,0,1.775440191254633,-2.479169199167254,2.0018849187663204,1.8296087868411843,1.7973275392809702,1.4110872775095102
6,842,0,0,0,0,1,0,0,0,1,0,0,0,-1.009303926344039,0.11743922654129811,0.23254198044976965,-1.2227024111201426,-1.206496900716348,-1.1897661481844763
5,1323,0,0,1,0,0,1,0,0,0,0,0,0,-0.8392432168723644,0.1876178326415303,-0.6521294887085057,-0.882562160320933,-0.9178410986745633,-0.8718840628218777
5,2558,0,0,0,0,1,0,0,0,0,1,0,0,-0.20151555635358462,0.6086894692429187,-0.20979375412936802,-0.08591788871225842,-0.06991468017682151,-0.004932920923882611
1,3079,1,0,0,0,0,1,0,0,0,0,0,0,0.24489380600956145,0.5385108631426865,3.771227857082871,0.3168797767078583,0.25482309712018536,0.3562967215336155
3,1915,0,0,1,0,0,0,1,0,0,0,0,0,-0.499121797929015,0.11743922654129811,-1.0944652232876433,-0.3454986064274447,-0.39465245747382915,-0.35171337768308053
7,1188,0,0,1,0,0,0,1,0,0,0,0,0,-1.0305615150279983,-0.9352398649621702,-0.6521294887085057,-1.160044996499236,-1.2155173945301534,-1.2620120766759757
2,4165,0,1,0,0,0,0,1,0,0,0,0,0,0.22363621732560213,-2.408990593067027,1.5595491841871827,0.4600967244127887,0.5073969239067468,0.16845730745571666
1,3538,0,1,0,0,0,0,1,0,0,0,0,0,0.24489380600956145,1.5210113485459225,1.5595491841871827,0.2721244805500677,0.32698704763063147,0.48633939281831534
5,1034,0,0,1,0,0,0,1,0,0,0,0,0,-0.8605008055563237,0.11743922654129811,-1.0944652232876433,-0.9183663972471656,-0.8907796172331458,-0.8863332485201779
4,5057,0,0,0,1,0,0,1,0,0,0,0,0,0.24489380600956145,0.6788680753431509,0.6748777150289074,0.37953719132876557,0.41719198576868954,0.48633939281831534
4,2172,0,0,1,0,0,0,1,0,0,0,0,0,-0.4353490318771372,-0.09309659175939355,-0.20979375412936802,-0.3365475471958867,-0.30444751933577185,-0.32281500628648063
1,2677,0,1,0,0,0,0,0,0,1,0,0,0,0.2661513946935208,1.4508327424456904,-0.20979375412936802,0.41534142825499815,0.3630690228858546,0.573034507008115
5,4180,0,0,1,0,0,0,0,1,0,0,0,0,-0.010197258197950476,0.11743922654129811,-0.20979375412936802,0.1826138882344858,0.20972062805115668,0.2118048645506168
2,737,0,0,0,0,1,0,1,0,0,0,0,0,-0.8392432168723644,-0.30363241006009023,1.5595491841871827,-0.891513219552491,-0.8727386296055346,-0.9007824342184776
7,668,0,0,1,0,0,0,0,0,0,0,1,0,-0.9667887489761203,0.32797504484199475,-1.75796882515635,-1.0973875818783287,-1.0892304811368732,-1.0597234768997772
5,8202,0,0,0,1,0,0,0,0,0,0,0,1,1.5416067157310804,-2.408990593067027,2.0018849187663204,1.6863918391362547,1.5898561815634382,1.2521462348282117
1,6781,0,0,0,0,1,0,0,0,1,0,0,0,1.2227428854716909,1.1701183180447665,1.5595491841871827,1.095621929853417,1.1749134661283733,1.2954937919231106
2,1918,0,0,0,0,1,0,0,1,0,0,0,0,-0.28654591108942173,-1.7773831381649419,0.23254198044976965,-0.032211533322909096,-0.006771223480181735,-0.22167070639838138
6,1776,0,0,1,0,0,0,0,0,0,1,0,0,-0.6054097413488118,0.04726062044106589,-1.0944652232876433,-0.515568731827049,-0.49387788942569283,-0.4962052346660799
1,1667,0,0,0,1,0,0,0,0,0,0,0,1,-0.1590003789856659,-1.0054184710624023,0.23254198044976965,0.07520117745578794,0.0022492703336246334,-0.07717884941538199
5,599,0,0,1,0,0,0,1,0,0,0,0,0,-1.136849458447795,0.32797504484199475,-0.6521294887085057,-1.437527832677538,-1.4229887522476854,-1.3920547479606755
2,5096,0,0,0,1,0,1,0,0,0,0,0,0,0.43621210416519535,-0.233453803959858,0.23254198044976965,0.6033136721177191,0.5524993929757754,0.5441361356115151
6,991,0,0,0,0,1,0,0,0,0,1,0,0,-0.8179856281884051,-1.5668473198642503,0.23254198044976965,-0.8109536864684678,-0.7825336914674765,-0.9441299913133777
1,4391,0,0,0,1,0,0,0,0,0,0,1,0,0.8826214665283412,0.04726062044106589,1.117213449608045,1.015062396769394,0.9313601331556173,0.9776117065605127
6,815,0,0,1,0,0,0,0,0,0,1,0,0,-0.9030159829242423,0.11743922654129811,-1.536800957866781,-0.981023811868073,-0.9719640615573975,-0.9585791770116773
3,2706,0,0,1,0,0,0,0,0,0,0,1,0,0.13860586258976473,0.8894038936438425,-1.9791366924459186,0.3347818951709742,0.29992556618921395,0.42854265002511555
2,5281,0,0,0,1,0,0,0,0,1,0,0,0,0.6700455796887482,-1.1457756832628618,1.117213449608045,0.898698626759138,0.8591961826451712,0.7175263639911144
1,3425,0,1,0,0,0,0,0,0,0,0,0,1,0.5212424589010327,1.7315471668466191,0.6748777150289074,0.6659710867386257,0.5885813682309985,0.8620182209741131
1,2395,0,0,0,0,1,0,1,0,0,0,0,0,-0.13774279030170655,0.25779643874176256,0.23254198044976965,0.021494822066439427,0.07441322084406997,0.08176219326591702
5,678,0,0,1,0,0,0,0,1,0,0,0,0,-1.1793646358157137,0.25779643874176256,-0.6521294887085057,-1.5807447803824686,-1.5673166532685778,-1.5509957906419745
3,1687,0,0,0,1,0,0,0,1,0,0,0,0,-0.6054097413488118,0.25779643874176256,0.23254198044976965,-0.5424219095217236,-0.5750623337499445,-0.5251036060626798
2,499,0,0,1,0,0,0,1,0,0,0,0,0,-1.0518191037119577,-0.022917985659161342,0.23254198044976965,-1.2853598257410497,-1.2876813450405995,-1.276461262374276
1,5227,0,0,0,0,1,1,0,0,0,0,0,0,0.43621210416519535,-0.865061258861938,1.117213449608045,0.6122647313492772,0.6427043311138335,0.5152377642149152
2,1949,0,0,0,1,0,0,0,0,1,0,0,0,-0.4566066205610965,0.46833225704245424,1.117213449608045,-0.3454986064274447,-0.3856319636600236,-0.308365820588181
1,9682,1,0,0,0,0,0,0,0,0,1,0,0,1.9242433120423483,1.942082985147311,-1.0944652232876433,1.6595386614415801,1.616917663004855,1.931257962648308
1,4088,0,0,0,1,0,0,0,0,0,1,0,0,0.43621210416519535,-2.19845477476633,0.6748777150289074,0.7554816790542076,0.6968272939966678,0.42854265002511555
1,14042,0,0,0,1,0,0,0,0,0,1,0,0,3.1996986330799078,-0.7948826527617058,0.6748777150289074,2.3935255184293482,2.383659637178344,2.2346908623126063
2,4862,0,0,1,0,0,0,0,1,0,0,0,0,0.5637576362689515,-0.3738110161603174,-1.0944652232876433,0.8002369752119981,0.7599707506933083,0.7175263639911144
6,1168,0,0,1,0,0,0,0,1,0,0,0,0,-0.8392432168723644,0.398153650942222,-1.536800957866781,-0.8736111010893751,-0.8546976419779228,-0.8140873200286779
1,2870,0,0,1,0,0,0,1,0,0,0,0,0,0.07483309653788668,0.32797504484199475,-0.20979375412936802,0.24527130285539306,0.2909050723754084,0.31294916443871607
3,495,0,0,1,0,0,0,0,0,0,0,1,0,-0.9667887489761203,-0.16327519785962577,-1.0944652232876433,-1.070534404183654,-1.0621689996954555,-1.0741726625980768
3,700,0,0,0,0,1,0,0,0,0,1,0,0,-0.881758394240283,0.749046681443378,-1.0944652232876433,-0.9720727526365149,-0.9629435677435919,-0.8863332485201779
1,5159,0,0,1,0,0,1,0,0,0,0,0,0,0.5637576362689515,0.398153650942222,-1.0944652232876433,0.6928242644333004,0.7329092692518908,0.7608739210860133
